arm,m,seed,tape_lastq,runmean_lastq
pair,8,15,17.650,6.656
pair,8,16,19.900,13.885
pair,8,17,19.900,13.494
pair,8,18,17.283,6.272
pair,8,19,19.700,13.506
pair,8,20,17.525,6.746
pair,8,21,19.925,14.398
pair,8,22,19.808,12.894
pair,8,23,16.900,5.656
pair,8,24,19.875,13.914
pair,8,25,16.650,5.033
pair,8,26,19.883,13.855
pair,8,27,17.308,6.578
pair,8,28,17.375,6.156
pair,8,29,19.892,13.662
pair,8,30,17.450,6.163
pair,8,31,16.800,5.634
pair,8,32,19.767,12.401
pair,8,33,19.817,13.543
pair,8,34,19.717,12.876
pair,8,35,17.308,6.335
pair,8,36,17.850,6.919
pair,8,37,19.792,12.688
pair,8,38,19.733,13.044
pair,8,39,19.850,13.314
pair,8,40,19.825,13.293
pair,8,41,17.217,6.481
pair,8,42,19.808,13.312
pair,8,43,19.783,13.447
pair,8,44,17.417,6.468
pair,8,45,16.842,5.579
pair,8,46,19.975,13.940
pair,8,47,16.808,5.387
pair,8,48,19.850,13.733
pair,8,49,17.642,6.866
pair,8,50,17.917,7.203
pair,8,51,19.842,13.383
pair,8,52,19.558,10.112
pair,8,53,19.950,13.947
pair,8,54,17.108,6.587
pair,8,55,17.042,6.150
pair,8,56,19.908,13.849
pair,8,57,19.725,9.459
pair,8,58,17.383,6.724
pair,8,59,17.517,6.801
pair,8,60,19.817,13.346
pair,8,61,19.808,13.181
pair,8,62,17.600,5.768
pair,8,63,20.008,14.185
pair,8,64,17.292,6.456
