lambda,wi,wr,seed,events,score,extinct
0.4688,15,32,146,1,-1,1
0.4688,15,32,147,1,-1,1
0.4688,15,32,148,1,-1,1
0.4688,15,32,149,3,-1,1
0.4688,15,32,150,1,-1,1
0.4688,15,32,151,1,-1,1
0.4688,15,32,152,19,-1,1
0.4688,15,32,153,1,-1,1
0.4688,15,32,154,50000,132,0
0.4688,15,32,155,5,-1,1
0.4688,15,32,156,50000,134,0
0.4688,15,32,157,7,-1,1
0.4688,15,32,158,9,-1,1
0.4688,15,32,159,3,-1,1
0.4688,15,32,160,1,-1,1
0.4688,15,32,161,1,-1,1
0.4688,15,32,162,50000,134,0
0.4688,15,32,163,27,-1,1
0.4688,15,32,164,1,-1,1
0.4688,15,32,165,25,-1,1
0.4688,15,32,166,3,-1,1
0.4688,15,32,167,1,-1,1
0.4688,15,32,168,1,-1,1
0.4688,15,32,169,1,-1,1
