cell,seed,dom,alive,fuel,hoard
convpriced_k2,59,β,13,18,α:0.98;β:5.61
convpriced_k2,60,α,18,1,α:2.86;β:1.31
convpriced_k8,1,α,20,3,α:4.70;β:0.83
convpriced_k8,2,α,22,2,α:4.93;β:0.54
convpriced_k8,3,α,22,4,α:4.72;β:0.69
convpriced_k8,4,α,20,2,α:4.92;β:0.36
convpriced_k8,5,α,23,3,α:4.82;β:1.29
convpriced_k8,6,α,22,5,α:4.64;β:1.18
convpriced_k8,7,α,21,1,α:5.08;β:0.52
convpriced_k8,8,α,24,1,α:4.79;β:0.64
convpriced_k8,9,α,21,3,α:4.87;β:0.41
convpriced_k8,10,α,24,0,α:5.22;β:0.49
convpriced_k8,11,α,23,1,α:5.06;β:0.70
convpriced_k8,12,α,22,1,α:5.25;β:0.71
convpriced_k8,13,α,21,2,α:4.24;β:1.53
convpriced_k8,14,α,22,2,α:4.96;β:0.39
convpriced_k8,15,α,22,1,α:4.78;β:0.83
convpriced_k8,16,α,24,1,α:5.09;β:0.21
convpriced_k8,17,α,22,2,α:5.05;β:0.84
convpriced_k8,18,α,19,6,α:4.78;β:1.04
convpriced_k8,19,α,20,6,α:5.21;β:0.61
convpriced_k8,20,α,23,2,α:4.68;β:0.75
convpriced_k8,21,α,23,2,α:5.24;β:0.46
convpriced_k8,22,α,20,5,α:4.76;β:0.70
convpriced_k8,23,α,22,4,α:5.03;β:0.31
