arm,seed,rescued,alive,gates_a,gates_m,qmarks,copiers,first_mu,events,exact
sloppy_e02,37,False,0,15,0,9,0,-1,1093,True
sloppy_e02,38,True,19,15,8,1,20,1084,6201,True
sloppy_e02,39,False,0,11,0,13,0,-1,1265,True
sloppy_e02,40,False,0,11,0,13,0,-1,1295,True
sloppy_e02,41,False,0,16,0,8,0,-1,1484,True
sloppy_e02,42,False,0,14,0,10,0,-1,1283,True
sloppy_e02,43,True,19,13,9,2,19,1049,6201,True
sloppy_e02,44,False,0,13,0,11,0,-1,1390,True
sloppy_e02,45,False,0,12,0,12,0,-1,1065,True
sloppy_e02,46,True,16,9,13,2,23,1186,6201,True
sloppy_e02,47,False,0,12,0,12,0,-1,1214,True
sloppy_e02,48,False,0,12,0,12,0,-1,1181,True
sloppy_e02,49,False,0,14,0,10,0,-1,1150,True
sloppy_e02,50,True,17,14,10,0,20,1258,6201,True
sloppy_e02,51,False,0,12,0,12,0,-1,1279,True
sloppy_e02,52,False,0,14,0,10,0,-1,1135,True
sloppy_e02,53,True,21,12,8,4,23,1153,6201,True
sloppy_e02,54,False,0,14,0,10,0,-1,1336,True
sloppy_e02,55,False,0,12,0,12,0,-1,1444,True
sloppy_e02,56,True,19,14,9,1,20,1190,6201,True
sloppy_e02,57,False,0,13,0,11,0,-1,1378,True
sloppy_e02,58,False,0,13,0,11,0,-1,1438,True
sloppy_e02,59,False,0,14,0,10,0,-1,1092,True
sloppy_e02,60,True,21,15,8,1,23,1325,6201,True
sloppy_e02,61,False,0,14,0,10,0,1378,1645,True
sloppy_e02,62,False,0,14,0,10,0,-1,1142,True
sloppy_e02,63,False,0,12,0,12,0,-1,1428,True
sloppy_e02,64,False,0,14,0,10,0,-1,1345,True
sloppy_e02,65,False,0,13,0,11,0,-1,1192,True
sloppy_e02,66,True,19,12,10,2,23,1224,6201,True
sloppy_e02,67,False,0,13,0,11,0,-1,1379,True
sloppy_e02,68,False,0,12,0,12,0,-1,1261,True
